장소명,lat,lon,힐링스팟자치구,대표자치구,카테고리,대분류,도로명주소,주소,전화번호,플레이스URL,데이터출처,장소_스트레스분류,장소_해결태그,힐링점수,평균힐링점수,매칭가능_기본태그,매칭가능_스트레스분류,매칭가능_cluster_label_alt,추천_크롤링태그,매칭가능여부,매칭키워드수
놀숲 압구정역점,37.5252833793513,127.027023962926,강남구,강남구,"가정,생활 > 여가시설 > 만화방 > 만화카페 > 놀숲","가정,생활",서울 강남구 압구정로28길 22-6,,02-544-6250,http://place.map.kakao.com/1208502985,카카오,소음,북카페,99.0,99.0,소음취약,소음|교통|환경,소음+교통 취약형|환경+소음 취약형,숲|역,True,2
더숲 작은도서관,37.5330078403835,127.124843692294,강동구,강동구,"교육,학문 > 학습시설 > 도서관 > 작은도서관","교육,학문",서울 강동구 풍성로35길 19,,010-4726-5412,http://place.map.kakao.com/458051840,카카오,소음|환경,도서관|서울숲,99.0,98.5,환경취약|소음취약,환경|소음|교통|안전,소음+교통 취약형|환경+소음 취약형|환경+안전 취약형,숲|도서관,True,2
동작충효길3코스(한강나들길),37.5107499,126.9631815,동작구,동작구,"거리,골목>도보코스","거리,골목",서울특별시 동작구 한강남자전거길 1888 한강공중화장실(원불교앞),,,,네이버,환경,산책로,99.0,99.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,산책|한강,True,2
래미안푸른숲도서관,37.644708200202,126.92087657831172,은평구,은평구,"교육,학문 > 학습시설 > 도서관 > 작은도서관","교육,학문",서울 은평구 진관3로 77,,070-8800-8557,http://place.map.kakao.com/1736068663,카카오,소음|환경,도서관|서울숲,99.0,98.5,환경취약|소음취약,환경|소음|교통|안전,소음+교통 취약형|환경+소음 취약형|환경+안전 취약형,숲|도서관,True,2
매헌숲작은도서관,37.4696202373731,127.036558376846,서초구,서초구,"교육,학문 > 학습시설 > 도서관 > 작은도서관","교육,학문",서울 서초구 매헌로 99,,070-4286-7264,http://place.map.kakao.com/1050924752,카카오,환경,서울숲,99.0,99.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,숲|도서관,True,2
별숲작은도서관,37.48938617829059,126.87729592602015,구로구,구로구,"교육,학문 > 학습시설 > 도서관 > 작은도서관","교육,학문",서울 구로구 구일로2길 51,,02-869-7678,http://place.map.kakao.com/246246487,카카오,소음|환경,도서관|서울숲,99.0,98.5,환경취약|소음취약,환경|소음|교통|안전,소음+교통 취약형|환경+소음 취약형|환경+안전 취약형,숲|도서관,True,2
사단법인 도시공원협회,37.5096766,127.1177053,송파구,송파구,"협회,단체","협회,단체",서울특별시 송파구 가락로 239 풍원빌딩 3층,,,http://www.parks.or.kr,네이버,환경|교통,녹지|도시숲,99.0,91.0,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|숲,True,2
서울둘레길인증스탬프(호암산숲길공원),37.4338924,126.9065426,금천구,금천구,"여행,명소>거리,골목","여행,명소",서울특별시 금천구 시흥동,서울특별시 금천구 시흥동,,,네이버,교통,둘레길,99.0,99.0,교통취약,교통|소음|안전,소음+교통 취약형|안전+교통 취약형,공원|숲,True,2
서초구립방배숲환경도서관,37.48896245301088,127.0000508828409,서초구,서초구,"교육,학문 > 학습시설 > 도서관 > 국공립도서관","교육,학문",서울 서초구 서초대로 160-7,,02-537-6001,http://place.map.kakao.com/496228561,카카오,환경,서울숲,99.0,99.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,숲|도서관,True,2
송파둘레길한강길,37.518319,127.08454,송파구,송파구,"여행,명소>도보코스","여행,명소",서울특별시 송파구 한가람로 65 한강사업본부 잠실안내센터,,,,네이버,환경|소음,산책코스,99.0,98.5,환경취약|소음취약,환경|소음|교통|안전,소음+교통 취약형|환경+소음 취약형|환경+안전 취약형,산책|한강,True,2
수색한숲도서관,37.586550779781,126.901176690105,은평구,은평구,"교육,학문 > 학습시설 > 도서관 > 작은도서관","교육,학문",서울 은평구 은평터널로 66,,02-304-8684,http://place.map.kakao.com/766963095,카카오,환경,서울숲,99.0,99.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,숲|도서관,True,2
숲속별작은도서관,37.45470738213847,127.06105980309096,서초구,서초구,"교육,학문 > 학습시설 > 도서관 > 작은도서관","교육,학문",서울 서초구 헌릉로8길 45,,02-572-0907,http://place.map.kakao.com/104883728,카카오,소음|환경,도서관|서울숲,99.0,98.5,환경취약|소음취약,환경|소음|교통|안전,소음+교통 취약형|환경+소음 취약형|환경+안전 취약형,숲|도서관,True,2
숲속작은도서관,37.4589116168936,126.946610229459,관악구,관악구,"교육,학문 > 학습시설 > 도서관 > 작은도서관","교육,학문",서울 관악구 관악산나들길 114,,070-4118-6154,http://place.map.kakao.com/23815372,카카오,소음|환경,도서관|서울숲,99.0,98.5,환경취약|소음취약,환경|소음|교통|안전,소음+교통 취약형|환경+소음 취약형|환경+안전 취약형,숲|도서관,True,2
숲속향기작은도서관,37.63563737384482,126.9345801460688,은평구,은평구,"교육,학문 > 학습시설 > 도서관 > 작은도서관","교육,학문",서울 은평구 연서로48길 12,,070-8931-8473,http://place.map.kakao.com/1100696650,카카오,환경,서울숲,99.0,99.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,숲|도서관,True,2
여의도공원자연생태의숲,37.5233271,126.9175255,영등포구,영등포구,"여행,명소>숲,숲길","여행,명소",서울특별시 영등포구 여의공원로 68,서울특별시 영등포구 여의도동 2,,,네이버,교통,숲길,99.0,99.0,교통취약,교통|소음|안전,소음+교통 취약형|안전+교통 취약형,공원|숲,True,2
열린숲 작은도서관,37.4859181057032,126.894959479885,구로구,구로구,"교육,학문 > 학습시설 > 도서관 > 작은도서관","교육,학문",서울 구로구 디지털로33길 27,,02-2028-2361,http://place.map.kakao.com/1246197284,카카오,소음|환경,도서관|서울숲,99.0,98.5,환경취약|소음취약,환경|소음|교통|안전,소음+교통 취약형|환경+소음 취약형|환경+안전 취약형,숲|도서관,True,2
우장산숲속도서관,37.5483057178016,126.841907428457,강서구,강서구,"교육,학문 > 학습시설 > 도서관 > 국공립도서관","교육,학문",서울 강서구 우현로 34,,02-2696-6689,http://place.map.kakao.com/19286010,카카오,소음|환경,도서관|서울숲,99.0,98.5,환경취약|소음취약,환경|소음|교통|안전,소음+교통 취약형|환경+소음 취약형|환경+안전 취약형,숲|도서관,True,2
위례글숲작은도서관,37.484388492708,127.138803283749,송파구,송파구,"교육,학문 > 학습시설 > 도서관 > 작은도서관","교육,학문",서울 송파구 위례송파로 40,,02-6951-5278,http://place.map.kakao.com/1071741807,카카오,환경,서울숲,99.0,99.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,숲|도서관,True,2
주님의숲작은도서관,37.4845093972137,126.973479176347,동작구,동작구,"교육,학문 > 학습시설 > 도서관 > 작은도서관","교육,학문",서울 동작구 사당로17길 31,,02-234-2940,http://place.map.kakao.com/21812001,카카오,환경,서울숲,99.0,99.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,숲|도서관,True,2
지혜의숲작은도서관,37.45167737222999,127.05726562588444,서초구,서초구,"교육,학문 > 학습시설 > 도서관 > 작은도서관","교육,학문",서울 서초구 청계산로7길 43,,070-7763-2811,http://place.map.kakao.com/450352227,카카오,환경,서울숲,99.0,99.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,숲|도서관,True,2
지혜의숲작은도서관,37.46190208214476,126.89955393249748,금천구,금천구,"교육,학문 > 학습시설 > 도서관 > 작은도서관","교육,학문",서울 금천구 시흥대로90길 29,,070-4192-5822,http://place.map.kakao.com/19825933,카카오,소음|환경,도서관|서울숲,99.0,98.5,환경취약|소음취약,환경|소음|교통|안전,소음+교통 취약형|환경+소음 취약형|환경+안전 취약형,숲|도서관,True,2
청림동푸른숲작은도서관,37.4918465421065,126.958627268425,관악구,관악구,"교육,학문 > 학습시설 > 도서관 > 작은도서관","교육,학문",서울 관악구 관악로40길 39,,02-876-4090,http://place.map.kakao.com/21851125,카카오,환경,서울숲,99.0,99.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,숲|도서관,True,2
초록숲작은도서관,37.5521280348362,126.951296874903,마포구,마포구,"교육,학문 > 학습시설 > 도서관 > 작은도서관","교육,학문",서울 마포구 마포대로11길 44-81,,02-313-4785,http://place.map.kakao.com/454145515,카카오,소음|환경,도서관|서울숲,99.0,98.5,환경취약|소음취약,환경|소음|교통|안전,소음+교통 취약형|환경+소음 취약형|환경+안전 취약형,숲|도서관,True,2
카페인24 암사역사공원역점,37.5562942,127.1378106,강동구,강동구,"카페,디저트>카페","카페,디저트",서울특별시 강동구 고덕로27길 33 1층,,,,네이버,소음,조용히,99.0,99.0,소음취약,소음|교통|환경,소음+교통 취약형|환경+소음 취약형,공원|역,True,2
큰숲글터작은도서관,37.5109612822565,126.882238415165,구로구,구로구,"교육,학문 > 학습시설 > 도서관 > 작은도서관","교육,학문",서울 구로구 신도림로 87,,,http://place.map.kakao.com/35067954,카카오,환경,서울숲,99.0,99.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,숲|도서관,True,2
하늘숲작은도서관,37.5117944040253,126.927796756038,동작구,동작구,"교육,학문 > 학습시설 > 도서관 > 작은도서관","교육,학문",서울 동작구 알마타길 21-42,,,http://place.map.kakao.com/1727820054,카카오,환경,서울숲,99.0,99.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,숲|도서관,True,2
호암산숲길공원,37.4344402,126.9078963,금천구,금천구,"여행,명소>근린공원","여행,명소",서울특별시 금천구 시흥동 산1-4,서울특별시 금천구 시흥동 산1-4,,,네이버,교통,숲길,99.0,99.0,교통취약,교통|소음|안전,소음+교통 취약형|안전+교통 취약형,공원|숲,True,2
동대문디자인플라자 동대문역사문화공원,37.5672022510154,127.010843711291,중구,중구,여행 > 공원 > 도시근린공원,여행,서울 중구 을지로 281,,,http://place.map.kakao.com/11666813,카카오,환경,공원,99.0,99.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원,True,1
롯데리아 동대문역사문화공원역점,37.5664931,127.0061057,중구,중구,양식>햄버거,양식,서울특별시 중구 을지로 251 1층 롯데리아,,,https://www.lotteria.com/,네이버,환경,공원,99.0,99.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원,True,1
망우 역사 문화공원,37.5988163,127.1144128,중랑구,중랑구,"여행,명소>테마공원","여행,명소",서울특별시 중랑구 망우로91길 2,,,http://manguripark.or.kr/,네이버,환경,산,99.0,99.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원,True,1
망우역사문화공원,37.59894517013323,127.1143953642082,중랑구,중랑구,여행 > 공원,여행,서울 중랑구 망우로91길 2,,02-2094-6800,http://place.map.kakao.com/10339648,카카오,환경,공원,99.0,99.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원,True,1
배봉산 보루역사문화공원,37.5811130615983,127.063843751276,동대문구,동대문구,여행 > 공원 > 도시근린공원,여행,,,,http://place.map.kakao.com/830443386,카카오,환경,공원,99.0,99.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원,True,1
석계역문화공원,37.61508638301968,127.0644787466723,노원구,노원구,여행 > 공원 > 도시근린공원,여행,,,,http://place.map.kakao.com/14653185,카카오,환경,공원,99.0,99.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원,True,1
성북역사문화공원,37.59243506112357,126.9976946505033,성북구,성북구,여행 > 공원 > 도시근린공원,여행,,,02-2241-3682,http://place.map.kakao.com/789661385,카카오,환경,공원,99.0,99.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원,True,1
역삼문화공원,37.50133927181133,127.03041938929664,강남구,강남구,여행 > 공원 > 도시근린공원,여행,,,,http://place.map.kakao.com/10657560,카카오,환경,공원,99.0,99.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원,True,1
역삼문화공원 휴가든,37.5004365990361,127.029889760612,강남구,강남구,여행 > 공원,여행,,,,http://place.map.kakao.com/480858382,카카오,환경,공원,99.0,99.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원,True,1
오류역문화공원,37.49457296732796,126.84554211311654,구로구,구로구,여행 > 공원,여행,서울 구로구 경인로20길 13,,,http://place.map.kakao.com/2142937596,카카오,환경,공원,99.0,99.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원,True,1
창동역사문화공원,37.654394149706,127.03865006559,도봉구,도봉구,여행 > 공원 > 도시근린공원,여행,,,,http://place.map.kakao.com/1755567743,카카오,환경,공원,99.0,99.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원,True,1
가락근린공원,37.4980626900224,127.124598900151,송파구,송파구,여행 > 공원 > 도시근린공원,여행,서울 송파구 양재대로64길 42,,,http://place.map.kakao.com/8693840,카카오,교통,산책하기 좋은 곳,98.0,98.0,교통취약,교통|소음|안전,소음+교통 취약형|안전+교통 취약형,공원|산책,True,2
간데메공원,37.5733627114637,127.048721478311,동대문구,동대문구,여행 > 공원 > 도시근린공원,여행,서울 동대문구 서울시립대로2길 59,,,http://place.map.kakao.com/8126969,카카오,환경|교통,공원|산책하기 좋은 곳,98.0,90.5,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
강서둘레길 2코스(공원길),37.57932739770858,126.81839393678544,강서구,강서구,"여행 > 관광,명소 > 도보여행",여행,,,,http://place.map.kakao.com/26558420,카카오,교통,산책하기 좋은 곳,98.0,98.0,교통취약,교통|소음|안전,소음+교통 취약형|안전+교통 취약형,공원|산책,True,2
강서습지생태공원,37.58581442410638,126.8183170399195,강서구,강서구,여행 > 공원 > 도시근린공원,여행,,,02-3780-0621,http://place.map.kakao.com/8631074,카카오,환경|교통,공원|산책하기 좋은 곳,98.0,90.5,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
개롱근린공원,37.4936842427452,127.130856259436,송파구,송파구,여행 > 공원 > 도시근린공원,여행,,,,http://place.map.kakao.com/8177108,카카오,환경|교통,공원|산책하기 좋은 곳,98.0,90.5,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
개운산숲나들길,37.59610654446913,127.02949089953844,동대문구,동대문구,"여행 > 관광,명소 > 도보여행",여행,,,,http://place.map.kakao.com/26563587,카카오,교통,산책하기 좋은 곳,98.0,98.0,교통취약,교통|소음|안전,소음+교통 취약형|안전+교통 취약형,산책|숲,True,2
개화산자락길 (무장애숲길),37.5794248453129,126.806571233624,강서구,강서구,"여행 > 관광,명소 > 도보여행",여행,,,,http://place.map.kakao.com/222161200,카카오,교통,산책하기 좋은 곳,98.0,98.0,교통취약,교통|소음|안전,소음+교통 취약형|안전+교통 취약형,산책|숲,True,2
거리공원,37.4994987472971,126.891706119311,구로구,구로구,여행 > 공원 > 도시근린공원,여행,,,,http://place.map.kakao.com/8662103,카카오,환경|교통,공원|산책하기 좋은 곳,98.0,90.5,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
건너말공원,37.491828303457,127.124050295618,송파구,송파구,여행 > 공원 > 도시근린공원,여행,서울 송파구 중대로10길 29,,,http://place.map.kakao.com/17384823,카카오,환경|교통,공원|산책하기 좋은 곳,98.0,90.5,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
경춘선숲길,37.620691807133,127.078706040469,노원구,노원구,"여행 > 관광,명소 > 도보여행",여행,,,,http://place.map.kakao.com/1003027186,카카오,교통,산책하기 좋은 곳,98.0,98.0,교통취약,교통|소음|안전,소음+교통 취약형|안전+교통 취약형,산책|숲,True,2
고강선사유적공원,37.5243014393314,126.818219700976,강서구,강서구,여행 > 공원,여행,,,,http://place.map.kakao.com/1674391528,카카오,교통,산책하기 좋은 곳,98.0,98.0,교통취약,교통|소음|안전,소음+교통 취약형|안전+교통 취약형,공원|산책,True,2
고척근린공원,37.50516842310723,126.8523004708702,구로구,구로구,여행 > 공원 > 도시근린공원,여행,,,,http://place.map.kakao.com/10166807,카카오,환경|교통,공원|산책하기 좋은 곳,98.0,90.5,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
골마을근린공원,37.6388478695164,127.074079900845,노원구,노원구,여행 > 공원 > 도시근린공원,여행,,,,http://place.map.kakao.com/17807403,카카오,환경|교통,공원|산책하기 좋은 곳,98.0,90.5,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
관악산생태공원,37.46820223618535,126.91358866950686,관악구,관악구,여행 > 공원 > 도시근린공원,여행,,,,http://place.map.kakao.com/12630930,카카오,환경|교통,공원|산책하기 좋은 곳,98.0,90.5,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
광나루 한강변 드론공원,37.5473641,127.1199238,강동구,강동구,"여행,명소>도시,테마공원","여행,명소",서울특별시 강동구,서울특별시 강동구 천호동 351-1,,,네이버,교통,수변공원,98.0,98.0,교통취약,교통|소음|안전,소음+교통 취약형|안전+교통 취약형,공원|한강,True,2
구로지양산숲나들길,37.51423030750184,126.82435212191209,양천구,양천구,"여행 > 관광,명소 > 도보여행",여행,,,,http://place.map.kakao.com/26563562,카카오,교통,산책하기 좋은 곳,98.0,98.0,교통취약,교통|소음|안전,소음+교통 취약형|안전+교통 취약형,산책|숲,True,2
구의공원,37.5370968398961,127.094485633365,광진구,광진구,여행 > 공원 > 도시근린공원,여행,,,,http://place.map.kakao.com/8217679,카카오,환경|교통,공원|산책하기 좋은 곳,98.0,90.5,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
금천체육공원,37.468164,126.9086809,금천구,금천구,"지역명소>도시,테마공원",지역명소,서울특별시 금천구 독산로54길 102-27,,,,네이버,환경|교통,공원,98.0,97.0,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|역,True,2
금호1가동숲속작은도서관,37.5548607125147,127.02164763027,성동구,성동구,"교육,학문 > 학습시설 > 도서관 > 작은도서관","교육,학문",서울 성동구 행당로 15,,02-2286-7993,http://place.map.kakao.com/824700256,카카오,소음,도서관,98.0,98.0,소음취약,소음|교통|환경,소음+교통 취약형|환경+소음 취약형,도서관|숲,True,2
금호근린공원,37.5497074622427,127.018979980003,성동구,성동구,여행 > 공원 > 도시근린공원,여행,서울 성동구 금호산9길 9,,,http://place.map.kakao.com/10212119,카카오,환경|교통,공원|산책하기 좋은 곳,98.0,90.5,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
길동생태공원,37.54081566319114,127.15541883551022,강동구,강동구,여행 > 공원 > 도시근린공원,여행,,,02-472-2770,http://place.map.kakao.com/8229674,카카오,환경|교통,공원|산책하기 좋은 곳,98.0,90.5,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
꿈의숲롯데캐슬아파트작은도서관,37.6172447673744,127.035650774508,강북구,강북구,"교육,학문 > 학습시설 > 도서관 > 작은도서관","교육,학문",서울 강북구 오현로 56,,02-985-6031,http://place.map.kakao.com/1395936186,카카오,소음,도서관,98.0,98.0,소음취약,소음|교통|환경,소음+교통 취약형|환경+소음 취약형,도서관|숲,True,2
낙산공원,37.58056966858,127.007521763748,종로구,종로구,여행 > 공원 > 도시근린공원,여행,서울 종로구 낙산길 41,,02-743-7985,http://place.map.kakao.com/8253524,카카오,환경|교통,공원|산책하기 좋은 곳,98.0,90.5,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
낙산어린이공원,37.579691878115554,127.01044475881706,종로구|동대문구,종로구,여행 > 공원,여행,,,,http://place.map.kakao.com/10192099,카카오,환경|교통,공원|산책하기 좋은 곳,98.0,90.5,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
낙성대공원,37.471296925982,126.960361423801,관악구,관악구,여행 > 공원 > 도시근린공원,여행,서울 관악구 낙성대로 77,,02-879-6524,http://place.map.kakao.com/10203930,카카오,환경|교통,공원|산책하기 좋은 곳,98.0,90.5,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
낙성대공원도서관,37.4719741555524,126.959388858737,관악구,관악구,"교육,학문 > 학습시설 > 도서관 > 작은도서관","교육,학문",서울 관악구 낙성대로 77,,02-872-5576,http://place.map.kakao.com/13561940,카카오,소음,도서관,98.0,98.0,소음취약,소음|교통|환경,소음+교통 취약형|환경+소음 취약형,도서관|공원,True,2
남산골공원,37.5581890143754,126.993752601703,중구,중구,여행 > 공원 > 도시근린공원,여행,서울 중구 퇴계로36가길 50-8,,,http://place.map.kakao.com/17385360,카카오,환경|교통,공원|산책하기 좋은 곳,98.0,90.5,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
남산공원남측순환도로,37.5469985957571,126.993341631205,용산구,용산구,"여행 > 관광,명소 > 도보여행",여행,,,,http://place.map.kakao.com/2089365219,카카오,교통,산책하기 좋은 곳,98.0,98.0,교통취약,교통|소음|안전,소음+교통 취약형|안전+교통 취약형,공원|산책,True,2
남산예장공원,37.56048258978418,126.98883016962876,중구,중구,여행 > 공원,여행,,,,http://place.map.kakao.com/27477906,카카오,환경|교통,공원|산책하기 좋은 곳,98.0,90.5,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
내를건너서숲으로도서관,37.5916962,126.9080482,은평구,은평구,"교육,학문>군구립도서관","교육,학문",서울특별시 은평구 증산로17길 50,,,https://blog.naver.com/naesuplib,네이버,소음,도서관,98.0,98.0,소음취약,소음|교통|환경,소음+교통 취약형|환경+소음 취약형,도서관|숲,True,2
넘은들공원 책쉼터,37.51249216006292,126.84079988591668,양천구,양천구,"교육,학문 > 학습시설 > 도서관 > 작은도서관","교육,학문",,,,http://place.map.kakao.com/1333185469,카카오,소음,도서관,98.0,98.0,소음취약,소음|교통|환경,소음+교통 취약형|환경+소음 취약형,도서관|공원,True,2
노들나루공원,37.5137210973178,126.953615720558,동작구,동작구,여행 > 공원,여행,서울 동작구 노량진로 247,,02-826-1395,http://place.map.kakao.com/24894850,카카오,환경|교통,공원|산책하기 좋은 곳,98.0,90.5,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
대현산 숲속책쉼터,37.55317245658284,127.02904505934497,성동구,성동구,"교육,학문 > 학습시설 > 도서관","교육,학문",서울 성동구 독서당로63길 64,,,http://place.map.kakao.com/2103144103,카카오,소음,도서관,98.0,98.0,소음취약,소음|교통|환경,소음+교통 취약형|환경+소음 취약형,도서관|숲,True,2
대현산배수지공원,37.5573329952847,127.021942603597,성동구,성동구,여행 > 공원 > 도시근린공원,여행,서울 성동구 금호로 172-1,,02-2293-7646,http://place.map.kakao.com/7826853,카카오,환경|교통,공원|산책하기 좋은 곳,98.0,90.5,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
도덕산공원,37.4689446242869,126.858434251569,구로구,구로구,여행 > 공원,여행,,,,http://place.map.kakao.com/27553076,카카오,교통,산책하기 좋은 곳,98.0,98.0,교통취약,교통|소음|안전,소음+교통 취약형|안전+교통 취약형,공원|산책,True,2
독산자연공원,37.4738238814996,126.909107673564,관악구,관악구,여행 > 공원 > 도시근린공원,여행,,,,http://place.map.kakao.com/1836235308,카카오,환경|교통,자연 공원|산책하기 좋은 곳,98.0,90.5,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
망우산숲나들길,37.591193744838776,127.10986232829474,중랑구,중랑구,"여행 > 관광,명소 > 도보여행",여행,,,,http://place.map.kakao.com/26563601,카카오,교통,산책하기 좋은 곳,98.0,98.0,교통취약,교통|소음|안전,소음+교통 취약형|안전+교통 취약형,산책|숲,True,2
망우저류조공원,37.5994741359099,127.111482510007,중랑구,중랑구,여행 > 공원 > 도시근린공원,여행,,,,http://place.map.kakao.com/287880080,카카오,환경|교통,공원|산책하기 좋은 곳,98.0,90.5,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
매봉산공원,37.54319720826527,127.00782805173829,용산구,용산구,여행 > 공원 > 도시근린공원,여행,,,,http://place.map.kakao.com/27361502,카카오,환경|교통,공원|산책하기 좋은 곳,98.0,90.5,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
매봉산근린공원,37.5738487629808,126.895130423477,마포구,마포구,여행 > 공원 > 도시근린공원,여행,,,,http://place.map.kakao.com/22896058,카카오,교통,산책하기 좋은 곳,98.0,98.0,교통취약,교통|소음|안전,소음+교통 취약형|안전+교통 취약형,공원|산책,True,2
매봉산숲속도서관,37.5459044761691,127.010806677868,성동구,성동구,"교육,학문 > 학습시설 > 도서관 > 국공립도서관","교육,학문",서울 성동구 매봉길 49-29,,02-2204-6485,http://place.map.kakao.com/1795972704,카카오,소음,도서관,98.0,98.0,소음취약,소음|교통|환경,소음+교통 취약형|환경+소음 취약형,도서관|숲,True,2
모자봉 무장애 숲길,37.4529364367703,126.947360400308,관악구,관악구,"여행 > 관광,명소 > 도보여행",여행,,,,http://place.map.kakao.com/1052954786,카카오,환경|교통,서울숲|산책하기 좋은 곳,98.0,90.5,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,숲|산책,True,2
몽마르뜨공원,37.4953712551069,127.003858379724,서초구,서초구,여행 > 공원 > 도시근린공원,여행,,,,http://place.map.kakao.com/7877967,카카오,환경|교통,공원|산책하기 좋은 곳,98.0,90.5,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
문래근린공원,37.5167423988842,126.89394350263,영등포구|구로구,영등포구,여행 > 공원 > 도시근린공원,여행,,,02-679-4028,http://place.map.kakao.com/11731618,카카오,환경|교통,공원|산책하기 좋은 곳,98.0,90.5,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
